7-1,0.50,0.25,251,116,,|0,90
11-1,0.50,0.25,278,93,,|0,91
36-3,0.50,0.50,1,144,,|0,75
36-1,0.50,0.50,650,108,36-3,|10,85
36-2,0.50,0.25,243,55,36-1,|18,94
36-4,0.50,0.25,250,72,36-1,|18,93
36-5,0.50,0.25,212,60,36-1,|18,94
36-6,0.50,0.25,245,56,36-1,|18,94
38-1,0.50,0.50,6,102,,|0,64
38-6,0.50,0.50,278,79,,|0,65
38-3,0.50,0.25,196,73,,|0,66
38-4,0.50,0.25,365,105,38-1,38-3,38-6,|7,71
38-5,0.50,0.50,9,107,38-4,|14,80
38-2,0.50,0.25,1,144,38-4,|14,78
38-7,0.50,0.50,241,54,38-6,|6,84
38-8,0.50,0.25,1,144,38-2,38-5,38-7,|24,88
39-1,0.50,1.00,138,72,,|0,86
39-2,0.50,0.25,1000,59,,|0,87
39-3,0.50,1.00,657,97,39-1,39-2,|5,91
39-4,0.50,1.00,461,101,,|0,88
39-5,0.50,0.50,288,108,,|0,87
39-6,0.50,0.25,704,37,39-2,39-4,39-5,|8,95
41-1,0.50,1.00,139,76,,|0,86
41-2,0.50,0.25,1000,49,,|0,88
41-3,0.50,0.50,617,90,41-1,41-2,|6,92
41-4,0.50,0.25,460,105,,|0,89
41-5,0.50,1.00,289,116,,|0,88
41-6,0.50,0.25,716,29,41-2,41-4,41-5,|8,96
42-1,1.00,1.00,137,90,,|0,87
42-2,1.00,1.00,1000,52,,|0,89
42-3,1.00,0.50,1000,68,42-1,42-2,|6,93
42-4,1.00,2.00,462,104,,|0,89
42-5,1.00,1.00,289,117,,|0,88
42-6,1.00,2.00,1000,20,42-2,42-4,42-5,|8,96
49-1,0.50,1.00,17,112,,|0,62
49-2,0.50,1.00,1000,9,,|0,53
49-3,0.50,0.50,3,134,49-2,|1,54
49-4,0.50,0.25,862,101,,|0,56
49-5,0.50,0.25,3,136,,|0,43
49-6,0.50,0.25,1,144,,|0,33
49-7,0.50,0.25,1,144,49-6,|10,43
49-8,0.40,0.40,1,144,49-5,49-7,|20,53
49-9,0.50,0.50,411,102,49-3,49-4,49-8,|30,63
49-10,0.50,0.50,5,120,49-1,49-9,|37,70
49-11,0.50,0.25,1,144,49-10,|45,78
49-12,0.50,1.00,1,144,49-11,|55,88
51-1,0.75,0.38,1000,121,,|0,81
51-9,0.50,0.25,388,92,,|0,73
51-10,0.50,1.00,1000,80,,|0,74
51-4,0.40,0.40,1000,32,,|0,87
51-5,0.40,0.20,1000,93,,|0,83
51-6,0.40,0.40,1000,72,,|0,85
51-7,0.40,0.40,1000,56,,|0,86
51-8,0.40,0.20,1000,53,,|0,86
51-2,0.50,0.50,445,114,51-9,51-10,|7,82
51-3,0.40,0.20,1,144,51-9,51-10,|7,80
51-11,0.40,0.20,1,144,51-9,51-10,|7,80
51-12,0.50,1.00,386,100,,|0,83
51-13,0.65,1.30,1000,112,51-1,51-2,51-3,51-4,51-5,51-6,51-7,51-8,51-11,51-12,|17,90
59-1,0.50,0.25,332,53,,|0,78
59-2,0.40,0.40,9,84,59-1,|4,82
59-3,0.40,0.20,1,144,59-2,|10,88
65-1,0.50,1.00,1000,37,,|0,76
65-2,0.40,0.20,9,121,65-1,|3,79
65-3,0.40,0.40,1,144,65-2,|12,88
71-1,0.50,0.25,1000,37,,|0,76
71-2,0.40,0.80,9,128,71-1,|3,79
71-3,0.40,0.20,1,144,71-2,|12,88
90-1,0.50,0.25,3,112,,|0,82
90-2,0.50,0.25,1,144,,|0,71
90-3,0.50,0.25,1000,78,,|0,68
90-4,0.50,0.25,64,104,90-3,|6,74
90-5,0.50,0.25,31,127,90-2,90-4,|13,81
90-6,0.50,0.25,47,113,90-1,90-5,|22,90
91-1,0.50,0.25,30,122,,|0,79
91-2,0.50,1.00,1,144,91-1,|9,88
112-1,1.00,0.50,1000,84,,|0,86
112-2,1.00,1.00,1,144,,|0,78
112-3,1.00,0.50,208,60,112-2,|10,88
112-4,1.00,1.00,1,144,,|0,78
112-5,1.00,0.50,585,80,,|0,82
112-6,1.00,1.00,589,56,112-4,112-5,|10,88
112-7,1.00,0.50,1000,68,112-1,112-3,112-6,|14,92
112-8,1.00,1.00,1000,11,112-7,|19,97
132-1,0.50,1.00,855,77,,|0,75
132-2,0.40,0.40,147,83,,|0,65
132-3,0.40,0.40,1,144,132-2,|6,71
132-4,0.50,0.50,1,144,,|0,51
132-5,0.50,0.50,1,144,132-4,|10,61
132-6,0.50,0.50,1,144,132-5,|20,71
132-7,0.50,0.25,498,96,132-1,132-3,132-6,|30,81
132-8,0.50,1.00,1,144,132-7,|37,88
132-9,0.50,1.00,1,144,,|0,88
132-10,0.50,0.25,1,144,,|0,88
132-11,0.50,1.00,1,144,,|0,88
140-1,0.50,0.25,329,109,,|0,84
140-2,0.50,0.25,55,114,,|0,84
140-3,0.50,0.50,1,144,,|0,82
140-4,0.50,0.50,589,79,140-1,140-2,140-3,|10,92
147-1,0.40,0.80,556,97,,|0,75
147-2,0.40,0.80,71,96,147-1,|7,82
147-3,0.40,0.20,13,104,,|0,72
147-4,0.50,0.25,1,144,147-3,|7,79
147-5,0.40,0.20,9,130,147-2,147-4,|17,89
151-1,0.40,0.20,8,137,,|0,38
151-2,0.50,1.00,1,144,151-1,|10,48
151-4,0.50,0.50,1,144,,|0,29
151-5,0.50,0.50,1,144,151-4,|10,39
151-3,0.40,0.80,395,118,151-5,|20,50
151-6,0.50,0.25,1,144,,|0,39
151-7,0.50,0.25,66,128,151-5,151-6,|20,49
151-8,0.50,0.25,355,84,151-2,151-3,151-7,|29,58
151-9,0.50,0.50,61,99,151-8,|35,64
151-10,0.50,0.25,39,121,151-9,|42,71
151-11,0.50,0.50,1,144,,|0,52
151-12,0.50,0.25,1,144,151-11,|10,62
151-13,0.40,0.20,43,119,151-12,|20,72
151-14,0.50,0.25,1,144,,|0,70
151-15,0.40,0.80,37,106,151-10,151-13,151-14,|51,80
151-16,0.40,0.80,1,144,151-15,|59,88
155-1,0.40,0.40,572,97,,|0,76
155-2,0.40,0.20,57,103,155-1,|7,83
155-3,0.40,0.40,13,119,,|0,72
155-4,0.50,0.50,1,144,155-3,|8,80
155-5,0.40,0.20,9,111,155-2,155-4,|18,90
162-1,0.50,0.25,8,117,,|0,41
162-2,0.50,0.25,1,144,162-1,|8,49
162-4,0.50,1.00,1,144,,|0,30
162-5,0.50,0.50,1,144,162-4,|10,40
162-3,0.50,0.25,399,122,162-5,|20,50
162-6,0.50,0.25,1,144,,|0,40
162-7,0.50,0.25,83,126,162-5,162-6,|20,50
162-8,0.40,0.20,518,99,162-2,162-3,162-7,|29,59
162-9,0.40,0.40,193,113,162-8,|36,66
162-10,0.50,1.00,39,120,162-9,|44,74
162-11,0.50,0.25,1,144,,|0,54
162-12,0.50,0.50,1,144,162-11,|10,64
162-13,0.50,1.00,43,108,162-12,|20,74
162-14,0.50,0.25,1,144,,|0,72
162-15,0.40,0.40,193,80,162-10,162-13,162-14,|52,82
162-16,0.50,0.50,1,144,162-15,|58,88
168-1,0.50,0.50,11,116,,|0,77
168-2,0.50,0.50,1000,72,,|0,72
168-3,0.40,0.20,78,111,,|0,69
168-4,0.75,0.38,441,106,168-2,168-3,|8,77
168-5,0.50,0.25,29,116,168-1,168-4,|16,85
168-6,0.40,0.40,17,64,168-5,|24,93
170-1,0.65,0.65,814,100,,|0,85
170-2,0.50,0.50,37,94,,|0,85
170-3,0.70,0.70,438,79,170-1,170-2,|7,92
181-1,0.50,0.25,1,144,,|0,79
181-7,0.75,0.75,1000,123,,|0,73
181-3,0.50,0.25,389,102,181-7,|9,82
181-4,0.50,0.25,386,80,181-7,|9,83
181-5,0.50,0.50,384,81,181-7,|9,83
181-6,0.50,0.50,386,83,181-7,|9,83
181-2,0.50,0.50,384,72,181-7,|9,84
181-8,0.50,0.50,386,88,181-7,|9,83
181-9,0.55,0.28,11,130,181-1,181-2,181-3,181-4,181-5,181-6,181-8,|16,89
290-1,0.50,0.25,1,144,,|0,81
290-2,0.50,0.50,835,84,,|0,85
290-3,0.50,0.25,627,102,290-1,290-2,|10,91
292-1,0.50,0.25,225,89,,|0,84
292-2,0.50,0.25,177,96,,|0,83
292-3,0.50,0.50,446,113,292-1,292-2,|7,90
299-1,0.50,0.25,1,144,,|0,81
299-2,0.50,0.25,837,87,,|0,85
299-3,0.50,0.25,628,100,299-1,299-2,|10,91
317-1,0.50,0.25,634,88,,|0,88
317-2,0.50,0.50,67,130,,|0,70
317-3,0.50,0.25,41,111,,|0,71
317-4,0.50,0.50,21,116,317-2,317-3,|9,79
317-5,0.50,0.50,636,72,,|0,82
317-6,0.50,0.25,133,98,317-4,317-5,|17,87
317-7,0.50,0.50,85,59,317-1,317-6,|24,94
325-1,0.50,0.25,383,81,,|0,75
325-2,0.50,0.50,20,117,325-1,|6,81
325-3,0.50,0.25,268,115,,|0,73
325-4,0.50,0.25,11,112,325-3,|8,81
325-5,0.50,0.25,37,68,,|0,74
325-6,0.50,0.25,5,137,325-5,|5,79
325-7,0.50,0.25,301,98,,|0,73
325-8,0.50,0.50,19,127,325-7,|7,80
325-9,0.50,1.00,9,134,325-2,325-4,325-6,325-8,|16,89
332-1,0.50,0.25,5,109,,|0,85
332-2,0.50,1.00,326,104,,|0,78
332-3,0.50,1.00,51,114,332-2,|7,85
332-4,0.50,0.25,189,111,,|0,85
332-5,0.50,0.50,223,68,332-1,332-3,332-4,|15,93
333-1,0.50,0.50,25,125,,|0,81
333-2,0.50,0.50,646,75,,|0,78
333-3,0.50,0.25,267,103,333-2,|5,83
333-4,0.50,0.25,249,112,333-1,333-3,|12,90
337-1,1.00,0.50,507,34,,|0,56
337-2,1.00,0.50,1,144,,|0,49
337-3,1.00,0.50,1,144,,|0,49
337-4,1.00,0.50,512,72,337-1,337-2,337-3,|10,59
337-5,1.00,1.00,514,34,337-4,|15,64
337-6,1.00,0.50,513,113,337-5,|18,67
337-7,1.00,1.00,1,144,,|0,61
337-8,1.00,1.00,1000,56,337-7,|10,71
337-9,1.00,1.00,1000,118,337-6,337-8,|26,75
337-10,1.00,1.00,1000,116,337-9,|34,83
337-11,1.00,1.00,1000,103,337-10,|42,91
341-1,0.50,0.25,407,95,,|0,49
341-2,0.50,0.25,81,112,341-1,|7,56
341-3,0.50,0.25,47,109,341-2,|15,64
341-4,0.50,0.25,1,144,,|0,38
341-5,0.50,0.25,295,103,341-4,|10,48
341-6,0.50,0.25,21,120,341-5,|17,55
341-7,0.50,1.00,15,125,341-6,|25,63
341-8,0.50,0.25,101,114,341-3,341-7,|34,72
341-9,0.50,0.25,13,132,341-8,|42,80
341-10,0.50,0.25,9,125,341-9,|51,89
341-11,0.50,0.25,15,120,341-8,|42,81
341-12,0.50,0.50,11,134,341-11,|50,89
341-13,0.50,0.50,15,107,341-8,|42,81
341-14,0.50,0.50,11,128,341-13,|50,89
341-15,0.50,1.00,15,109,341-8,|42,82
341-16,0.50,0.50,11,112,341-15,|50,90
341-17,0.50,0.50,15,116,341-8,|42,81
341-18,0.50,0.50,11,125,341-17,|50,89
341-19,0.50,0.25,15,123,341-8,|42,81
341-20,0.50,0.25,11,119,341-19,|51,90
359-1,1.00,0.50,1,144,,|0,85
359-2,1.00,0.50,580,24,359-1,|10,95
359-3,1.00,1.00,582,6,359-2,|12,97
361-1,1.00,1.00,44,104,,|0,82
361-2,1.00,0.50,5,121,,|0,80
361-3,1.00,0.50,49,92,361-1,361-2,|9,89
361-4,1.00,1.00,368,65,,|0,91
361-5,1.00,2.00,417,25,361-3,361-4,|16,96
371-6,0.50,0.25,1,144,,|0,69
371-2,0.50,0.25,3,94,371-6,|10,82
371-3,0.50,0.50,1,144,371-6,|10,79
371-4,0.50,0.25,1,144,371-6,|10,79
371-5,0.50,0.25,1,144,371-6,|10,79
371-1,0.50,0.25,9,131,371-6,|10,80
371-7,0.50,0.25,1,144,371-6,|10,79
371-8,0.50,1.00,35,126,371-1,371-2,371-3,371-4,371-5,371-7,|20,89
374-3,0.50,0.50,4,135,,|0,61
374-2,0.50,0.50,14,99,,|0,63
374-1,0.50,0.50,3,124,374-3,|9,70
374-4,0.50,0.50,17,121,374-2,374-3,|9,70
374-5,0.50,0.25,1,144,374-1,374-4,|18,79
374-6,0.50,0.50,5,122,374-5,|28,89
394-1,0.50,0.25,13,121,,|0,55
394-2,0.50,0.50,1,144,394-1,|9,64
394-4,0.50,0.25,409,81,,|0,68
394-3,0.50,1.00,71,109,394-2,394-4,|19,74
394-5,0.50,0.25,67,109,394-4,|6,74
394-6,0.50,0.25,145,108,394-3,394-5,|27,82
394-7,0.50,1.00,141,107,394-6,|35,90
396-1,1.00,0.50,64,81,,|0,67
396-2,1.00,2.00,23,72,396-1,|6,73
396-4,1.00,0.50,786,80,,|0,72
396-3,1.00,0.50,811,97,396-2,396-4,|11,78
396-5,1.00,1.00,784,101,396-4,|6,78
396-6,1.00,0.50,1000,100,396-3,396-5,|18,85
396-7,1.00,0.50,1000,76,396-6,|25,92
401-3,0.50,0.50,19,111,,|0,74
401-4,0.50,0.25,82,104,,|0,75
401-1,0.50,0.25,91,112,401-3,401-4,|8,83
401-2,0.50,0.25,73,112,401-3,401-4,|8,83
401-5,0.50,0.25,51,123,401-3,401-4,|8,82
401-6,0.50,0.25,223,99,401-1,401-2,401-5,|17,91
420-1,0.50,0.25,1,144,,|0,67
420-2,0.50,0.50,719,71,420-1,|10,77
420-3,0.50,0.50,131,123,420-2,|15,82
420-4,0.50,0.25,133,104,420-3,|24,91
432-1,0.50,0.25,661,115,,|0,82
432-2,0.50,0.25,1,144,,|0,44
432-3,0.50,0.25,1,144,432-2,|10,54
432-4,0.50,0.25,1,144,432-3,|20,64
432-5,0.50,0.25,35,87,,|0,68
432-6,0.50,0.50,111,116,,|0,66
432-7,0.50,0.25,163,107,432-4,432-5,432-6,|30,74
432-8,0.50,0.50,126,108,432-7,|38,82
432-9,0.50,0.50,669,113,432-1,432-8,|46,90
442-1,1.00,0.50,8,96,,|0,77
442-2,1.00,1.00,52,68,,|0,72
442-3,1.00,2.00,22,122,,|0,68
442-4,1.00,1.00,75,104,442-2,442-3,|9,77
442-5,1.00,0.50,83,94,442-1,442-4,|16,86
442-6,1.00,0.50,83,64,442-5,|23,93
442-7,1.00,2.00,83,105,442-1,442-4,|16,84
442-8,1.00,0.50,83,99,442-7,|23,91
452-1,0.50,0.50,151,124,,|0,88
452-2,0.50,0.25,477,5,452-1,|9,97
465-1,0.50,1.00,949,100,,|0,81
465-2,0.50,1.00,1,144,465-1,|7,88
477-1,1.00,1.00,166,64,,|0,77
477-2,1.00,1.00,57,119,477-1,|5,82
477-3,1.00,1.00,57,92,,|0,83
477-4,1.00,0.50,115,108,477-2,477-3,|13,90
486-1,1.00,0.50,236,68,,|0,77
486-2,1.00,1.00,291,76,,|0,76
486-3,1.00,1.00,528,116,486-1,486-2,|6,82
486-4,1.00,1.00,529,108,486-3,|14,90
497-3,1.00,0.50,169,85,,|0,69
497-2,1.00,1.00,56,78,,|0,69
497-1,1.00,0.50,57,114,497-3,|6,75
497-4,1.00,2.00,225,116,497-2,497-3,|6,75
497-5,1.00,1.00,283,99,497-1,497-4,|14,83
497-6,1.00,0.50,283,106,497-5,|21,90
501-5,0.50,0.25,1,144,,|0,53
501-2,0.50,0.25,386,104,,|0,63
501-3,0.50,0.25,285,94,501-5,|10,63
501-6,0.50,0.25,13,116,,|0,62
501-1,0.50,0.25,1,144,501-3,|17,78
501-7,0.50,0.25,213,88,,|0,64
501-8,0.50,0.25,289,112,501-2,501-3,501-5,501-6,501-7,|17,70
501-4,0.50,0.25,1,144,501-8,|25,78
501-9,0.50,1.00,1,144,501-8,|25,78
501-10,0.50,0.25,1,144,501-1,501-4,501-9,|35,88
516-1,1.00,2.00,1000,72,,|0,70
516-2,1.00,0.50,12,72,,|0,70
516-3,1.00,0.50,1000,105,516-1,516-2,|5,75
516-4,1.00,0.50,71,74,,|0,77
516-5,1.00,0.50,30,66,,|0,77
516-6,1.00,1.00,1000,74,516-3,516-4,516-5,|12,82
516-7,1.00,0.50,1000,93,516-6,|17,87
516-8,1.00,0.50,1000,47,516-7,|24,94
522-1,1.00,0.50,1,144,,|0,71
522-2,1.00,0.50,1000,37,522-1,|10,86
522-3,1.00,0.50,1000,101,522-2,|13,91
522-4,1.00,1.00,1000,38,522-1,|10,81
522-5,1.00,1.00,1000,103,522-4,|13,84
522-6,1.00,1.00,1000,97,522-5,|20,91
522-7,1.00,0.50,1000,44,522-1,|10,81
522-8,1.00,2.00,1000,96,522-7,|13,84
522-9,1.00,2.00,1000,92,522-8,|20,91
522-10,1.00,0.50,1000,40,522-1,|10,83
522-11,1.00,0.50,1000,88,522-10,|13,86
522-12,1.00,0.50,1000,78,522-11,|19,92
522-13,1.00,0.50,1000,103,522-2,|13,89
522-14,1.00,0.50,1000,22,522-13,|20,96
532-1,0.50,0.25,181,66,,|0,79
532-2,0.50,0.25,182,29,,|0,74
532-3,0.50,0.50,4,128,,|0,58
532-4,0.50,0.25,183,24,,|0,65
532-5,0.50,0.25,35,126,532-3,532-4,|9,67
532-6,0.50,0.50,190,49,,|0,72
532-7,0.50,1.00,233,111,532-2,532-5,532-6,|18,76
532-8,0.50,0.50,207,116,532-1,532-7,|26,84
532-9,0.50,1.00,228,86,532-8,|34,92
550-1,0.50,0.25,13,106,,|0,73
550-2,0.50,0.25,3,134,550-1,|8,81
550-3,0.50,0.50,1,144,,|0,72
550-4,0.50,0.50,1000,16,,|0,72
550-6,0.50,0.25,37,98,,|0,67
550-5,0.50,0.50,455,107,550-4,550-6,|7,74
550-7,0.50,1.00,185,120,550-3,550-5,550-6,|15,82
550-8,0.50,0.25,166,117,550-2,550-7,|23,90
555-1,0.50,0.25,1000,10,,|0,81
555-2,0.50,0.25,1000,6,,|0,81
555-3,0.50,0.50,257,116,555-1,555-2,|1,82
555-4,0.50,0.50,175,110,555-3,|9,90
594-1,0.50,0.25,552,65,,|0,86
594-2,0.50,0.25,629,100,594-1,|5,91
608-1,0.50,0.25,287,78,,|0,77
608-2,0.50,0.25,329,108,608-1,|6,83
608-3,0.50,0.25,15,103,608-2,|14,91
618-1,0.50,0.50,214,73,,|0,85
618-2,0.50,0.25,11,127,,|0,81
618-3,0.50,0.50,273,110,618-1,618-2,|9,90
629-1,0.50,0.50,400,73,,|0,85
629-2,0.50,0.50,1,144,,|0,80
629-3,0.50,1.00,412,117,629-1,629-2,|10,90
632-1,0.50,0.25,862,83,,|0,75
632-2,0.50,0.25,805,116,632-1,|6,81
632-3,0.50,0.25,217,129,632-2,|14,89
644-1,0.50,1.00,408,108,,|0,75
644-2,0.50,0.25,29,62,644-1,|8,83
644-3,0.50,0.25,1,144,644-2,|13,88
664-1,0.50,0.50,1000,63,,|0,70
664-2,0.50,0.50,8,135,,|0,51
664-3,0.50,0.25,1,144,,|0,42
664-4,0.50,0.25,9,112,664-3,|10,52
664-5,0.50,1.00,11,114,664-2,664-4,|18,60
664-6,0.50,0.50,19,104,664-2,664-5,|26,68
664-7,0.50,0.25,287,107,664-1,664-6,|33,75
664-8,0.50,0.50,291,108,664-1,664-7,|41,83
664-9,0.50,0.25,19,94,664-8,|49,91
676-1,0.50,1.00,2,142,,|0,58
676-2,0.50,1.00,1,144,,|0,58
676-3,0.50,1.00,17,92,676-1,676-2,|10,68
676-4,0.50,0.50,29,81,676-1,676-3,|17,75
676-5,0.50,0.25,33,91,676-4,|23,81
676-6,0.50,0.25,5,144,676-5,|30,88
690-1,0.50,0.25,264,54,,|0,78
690-3,0.50,0.25,2,136,,|0,72
690-2,0.50,0.25,539,74,690-1,690-3,|10,82
690-4,0.50,0.50,546,97,690-2,690-3,|15,87
690-5,0.50,0.50,483,55,690-4,|22,94
693-1,1.00,1.00,35,113,,|0,81
693-2,1.00,1.00,11,123,693-1,|8,89
724-1,0.50,0.50,1,144,,|0,79
724-2,0.50,0.25,1,144,,|0,69
724-3,0.50,0.25,1,144,724-2,|10,79
724-4,0.50,0.25,538,111,724-1,724-3,|20,90
724-5,0.50,0.25,3,127,724-1,724-3,|20,89
728-1,0.50,0.25,1,144,,|0,78
728-2,0.50,0.25,1,144,,|0,78
728-3,0.50,0.25,518,108,728-1,728-2,|10,90
728-4,0.50,0.25,3,144,728-1,728-2,|10,88
738-1,0.50,0.25,2,142,,|0,76
738-2,0.50,0.25,173,68,,|0,81
738-3,0.50,0.25,327,52,738-1,738-2,|10,86
738-4,0.50,0.25,15,120,738-3,|14,90
747-1,1.00,1.00,384,62,,|0,76
747-2,1.00,1.00,1,144,,|0,71
747-3,1.00,1.00,41,118,747-1,747-2,|10,81
747-4,1.00,0.50,45,125,747-3,|18,89
748-1,0.50,0.50,54,89,,|0,77
748-2,0.50,0.25,4,90,,|0,77
748-3,0.50,0.25,121,120,748-1,748-2,|6,83
748-4,0.50,0.25,125,104,748-1,748-3,|14,91
758-1,1.00,0.50,676,69,,|0,91
758-2,1.00,0.50,498,30,758-1,|5,96
767-1,1.00,0.50,291,87,,|0,84
767-2,1.00,0.50,7,128,,|0,81
767-3,1.00,0.50,1,144,,|0,80
767-4,1.00,0.50,262,82,767-1,767-2,767-3,|10,90
767-5,1.00,2.00,304,30,767-4,|16,96
770-5,1.00,2.00,2,109,,|0,62
770-1,1.00,0.50,1,144,770-5,|8,70
770-3,1.00,0.50,3,96,770-5,|8,76
770-4,1.00,0.50,3,96,770-3,|15,83
770-2,1.00,0.50,1,144,770-1,|18,80
770-6,1.00,1.00,3,144,770-5,|8,70
770-7,1.00,1.00,3,144,770-6,|18,80
770-13,1.00,0.50,9,78,,|0,74
770-9,1.00,0.50,9,144,770-13,|6,80
770-10,1.00,0.50,9,112,770-13,|6,82
770-11,1.00,2.00,9,96,770-13,|6,83
770-12,1.00,0.50,9,144,770-13,|6,80
770-8,1.00,0.50,9,112,770-13,|6,82
770-14,1.00,1.00,9,72,770-13,|6,85
770-15,1.00,0.50,61,114,770-2,770-4,770-7,770-8,770-9,770-10,770-11,770-12,770-14,|28,90
773-1,1.00,0.50,3,132,,|0,84
773-2,1.00,1.00,500,16,773-1,|9,93
773-3,1.00,0.50,20,116,,|0,87
773-4,1.00,0.50,500,37,773-2,773-3,|11,95
790-1,1.00,0.50,1000,108,,|0,77
790-2,1.00,2.00,275,105,,|0,78
790-3,1.00,2.00,1000,82,790-1,790-2,|8,85
790-4,1.00,1.00,1000,40,790-3,|14,91
790-5,1.00,0.50,1000,59,790-4,|17,94
798-1,0.50,0.50,9,72,,|0,46
798-2,0.50,0.25,9,126,798-1,|5,51
798-3,0.50,0.25,3,137,798-2,|14,60
798-4,0.50,0.25,33,71,,|0,45
798-5,0.50,0.25,1,144,798-4,|5,50
798-6,0.50,1.00,1,144,798-5,|15,60
798-7,0.50,0.25,9,92,,|0,63
798-10,0.50,0.25,1,144,,|0,40
