16-1,2.00,1.00,6,94,,|0,83
16-2,1.00,0.50,22,103,,|0,83
16-3,4.00,2.00,13,108,16-1,16-2,|7,90
18-1,8.00,4.00,7,84,,|0,84
18-2,4.00,4.00,22,119,,|0,82
18-3,2.00,4.00,73,108,18-1,18-2,|8,90
23-1,8.00,4.00,6,91,,|0,66
23-2,8.00,16.00,10,97,23-1,|7,73
23-3,1.00,0.50,46,103,,|0,65
23-4,2.00,1.00,40,109,23-3,|7,72
23-5,2.00,1.00,29,96,,|0,65
23-6,4.00,2.00,26,108,23-5,|7,72
23-7,1.00,0.50,41,106,23-2,23-4,23-6,|15,80
23-8,2.00,1.00,1,144,23-7,|23,88
30-1,4.00,2.00,125,76,,|0,82
30-2,4.00,2.00,1,144,30-1,|6,88
39-1,4.00,4.00,17,72,,|0,86
39-2,2.00,1.00,250,59,,|0,87
39-3,1.00,1.00,328,97,39-1,39-2,|5,91
39-4,1.00,1.00,230,101,,|0,88
39-5,4.00,4.00,36,108,,|0,87
39-6,8.00,8.00,44,37,39-2,39-4,39-5,|8,95
51-1,12.00,6.00,62,121,,|0,81
51-9,2.00,2.00,97,92,,|0,73
51-10,4.00,2.00,125,80,,|0,74
51-4,3.20,1.60,125,32,,|0,87
51-5,3.20,1.60,125,93,,|0,83
51-6,1.60,0.80,250,72,,|0,85
51-7,3.20,1.60,125,56,,|0,86
51-8,1.60,0.80,250,53,,|0,86
51-2,8.00,4.00,27,114,51-9,51-10,|7,82
51-3,1.60,1.60,1,144,51-9,51-10,|7,80
51-11,0.80,0.40,1,144,51-9,51-10,|7,80
51-12,8.00,4.00,24,100,,|0,83
51-13,2.60,1.30,250,112,51-1,51-2,51-3,51-4,51-5,51-6,51-7,51-8,51-11,51-12,|17,90
54-1,12.00,6.00,62,57,,|0,94
54-2,4.00,2.00,125,70,,|0,93
59-1,2.00,1.00,83,53,,|0,78
59-2,3.20,1.60,1,84,59-1,|4,82
59-3,3.20,3.20,1,144,59-2,|10,88
60-1,1.00,0.50,180,41,,|0,75
60-2,3.20,3.20,1,136,60-1,|3,78
60-3,3.20,6.40,1,144,60-2,|13,88
68-1,4.00,4.00,125,33,,|0,76
68-2,0.80,0.80,4,123,68-1,|3,79
68-3,1.60,1.60,1,144,68-2,|12,88
71-1,2.00,1.00,250,37,,|0,76
71-2,1.60,0.80,2,128,71-1,|3,79
71-3,0.80,0.40,1,144,71-2,|12,88
92-1,4.00,2.00,5,88,,|0,73
92-2,4.00,2.00,1,127,92-1,|6,79
92-3,4.00,2.00,1,144,92-2,|15,88
110-1,8.00,4.00,125,81,,|0,86
110-2,2.00,2.00,1,144,,|0,77
110-3,8.00,8.00,20,72,110-2,|10,87
110-4,8.00,8.00,1,144,,|0,76
110-5,4.00,2.00,84,95,,|0,79
110-6,4.00,2.00,84,88,110-4,110-5,|10,86
110-7,4.00,4.00,250,58,110-1,110-3,110-6,|16,92
110-8,8.00,8.00,125,27,110-7,|20,96
116-1,3.20,1.60,44,113,,|0,73
116-2,8.00,4.00,1,144,,|0,62
116-3,3.20,6.40,3,122,116-2,|10,72
116-4,4.00,8.00,1,144,,|0,63
116-5,3.20,1.60,33,100,,|0,66
116-6,2.00,4.00,8,113,116-4,116-5,|10,73
116-7,2.00,2.00,15,104,116-1,116-3,116-6,|19,81
116-8,0.80,0.40,6,141,116-7,|26,88
120-1,8.00,8.00,8,31,,|0,65
120-2,4.00,4.00,1,144,120-1,|3,68
120-3,3.20,1.60,61,108,,|0,60
120-4,2.00,1.00,1,144,120-3,|8,68
120-5,3.20,1.60,1,144,120-2,120-4,|18,78
120-6,2.00,1.00,1,144,120-5,|28,88
121-1,4.00,2.00,250,70,,|0,82
121-2,16.00,8.00,1,144,,|0,71
121-3,16.00,8.00,18,82,121-2,|10,81
121-4,4.00,2.00,1,144,,|0,73
121-5,4.00,8.00,250,91,,|0,76
121-6,2.00,1.00,500,55,121-4,121-5,|10,83
121-7,8.00,16.00,125,95,121-1,121-3,121-6,|16,87
121-8,4.00,2.00,250,54,121-7,|23,94
158-1,0.80,0.40,307,103,,|0,77
158-2,4.00,2.00,4,108,158-1,|7,84
158-3,0.80,0.40,9,119,,|0,76
158-4,4.00,2.00,1,119,158-3,|8,84
158-5,4.00,2.00,1,82,158-2,158-4,|16,92
172-1,2.60,2.60,204,100,,|0,84
172-2,4.00,2.00,5,112,,|0,83
172-3,5.60,2.80,55,101,172-1,172-2,|8,91
290-1,4.00,2.00,1,144,,|0,81
290-2,4.00,4.00,104,84,,|0,85
290-3,8.00,8.00,39,102,290-1,290-2,|10,91
293-1,2.00,1.00,52,93,,|0,77
293-2,4.00,8.00,48,84,293-1,|7,84
293-3,8.00,4.00,2,117,,|0,75
293-4,8.00,4.00,6,103,293-3,|8,83
293-5,4.00,2.00,1,119,293-2,293-4,|15,90
309-1,8.00,4.00,1,134,,|0,74
309-2,16.00,8.00,21,127,,|0,74
309-3,8.00,8.00,43,108,309-1,309-2,|9,83
309-4,4.00,2.00,86,94,309-3,|17,91
325-1,4.00,2.00,47,81,,|0,75
325-2,4.00,8.00,2,117,325-1,|6,81
325-3,2.00,2.00,67,115,,|0,73
325-4,2.00,2.00,2,112,325-3,|8,81
325-5,4.00,4.00,4,68,,|0,74
325-6,4.00,2.00,1,137,325-5,|5,79
325-7,8.00,16.00,18,98,,|0,73
325-8,2.00,1.00,4,127,325-7,|7,80
325-9,4.00,2.00,1,134,325-2,325-4,325-6,325-8,|16,89
329-1,4.00,2.00,47,104,,|0,76
329-2,1.00,0.50,190,96,329-1,|7,83
329-3,4.00,2.00,31,109,329-2,|14,90
353-1,8.00,8.00,1,84,,|0,75
353-3,2.00,1.00,1,144,,|0,62
353-6,2.00,1.00,11,112,,|0,56
353-4,2.00,1.00,6,124,,|0,46
353-5,4.00,2.00,1,122,353-4,|9,55
