24-1,0.50,0.25,1,144,,|0,76
24-2,0.50,0.50,964,118,24-1,|10,86
24-3,0.50,0.25,558,58,24-2,|18,94
40-1,0.50,0.25,138,67,,|0,85
40-2,0.50,0.25,1000,59,,|0,86
40-3,0.50,0.25,449,108,40-1,40-2,|5,90
40-4,0.50,0.50,462,105,,|0,89
40-5,0.50,0.25,289,116,,|0,88
40-6,0.50,0.25,612,24,40-2,40-4,40-5,|8,96
49-1,0.50,0.25,17,112,,|0,62
49-2,0.50,0.50,1000,9,,|0,53
49-3,0.50,0.50,3,134,49-2,|1,54
49-4,0.50,0.50,862,101,,|0,56
49-5,0.50,0.50,3,136,,|0,43
49-6,0.50,0.25,1,144,,|0,33
49-7,0.50,0.50,1,144,49-6,|10,43
49-8,0.40,0.80,1,144,49-5,49-7,|20,53
49-9,0.50,0.25,411,102,49-3,49-4,49-8,|30,63
49-10,0.50,0.25,5,120,49-1,49-9,|37,70
49-11,0.50,0.25,1,144,49-10,|45,78
49-12,0.50,0.25,1,144,49-11,|55,88
60-1,0.50,0.25,361,41,,|0,75
60-2,0.40,0.20,9,136,60-1,|3,78
60-3,0.40,0.20,1,144,60-2,|13,88
114-1,0.50,1.00,1,144,,|0,73
114-2,0.50,1.00,3,95,114-1,|10,83
114-3,0.50,0.25,320,74,,|0,85
114-4,0.50,0.25,320,108,114-2,114-3,|17,90
123-1,0.50,0.25,1,144,,|0,73
123-2,0.50,1.00,3,111,123-1,|10,83
123-3,0.50,1.00,334,119,,|0,83
123-4,0.40,0.40,321,96,123-2,123-3,|18,91
129-1,0.50,0.25,864,106,,|0,53
129-2,0.50,0.25,145,71,,|0,46
129-3,0.50,0.50,1,144,129-2,|5,51
129-4,0.50,0.25,1,144,,|0,51
129-5,0.50,0.50,445,98,129-1,129-3,129-4,|15,61
129-6,0.50,0.50,1,144,129-5,|22,68
129-7,0.50,0.50,1,144,129-6,|32,78
129-8,0.50,0.25,1,144,129-7,|42,88
132-1,0.50,0.25,855,77,,|0,75
132-2,0.40,0.20,147,83,,|0,65
132-3,0.40,0.20,1,144,132-2,|6,71
132-4,0.50,0.25,1,144,,|0,51
132-5,0.50,0.25,1,144,132-4,|10,61
132-6,0.50,0.25,1,144,132-5,|20,71
132-7,0.50,0.25,498,96,132-1,132-3,132-6,|30,81
132-8,0.50,1.00,1,144,132-7,|37,88
132-9,0.50,0.25,1,144,,|0,88
132-10,0.50,0.25,1,144,,|0,88
132-11,0.50,0.25,1,144,,|0,88
140-1,0.50,0.25,329,109,,|0,84
140-2,0.50,0.50,55,114,,|0,84
140-3,0.50,0.25,1,144,,|0,82
140-4,0.50,0.25,589,79,140-1,140-2,140-3,|10,92
147-1,0.40,0.20,556,97,,|0,75
147-2,0.40,0.20,71,96,147-1,|7,82
147-3,0.40,0.40,13,104,,|0,72
147-4,0.50,0.50,1,144,147-3,|7,79
147-5,0.40,0.20,9,130,147-2,147-4,|17,89
151-1,0.40,0.20,8,137,,|0,38
151-2,0.50,0.25,1,144,151-1,|10,48
151-4,0.50,0.25,1,144,,|0,29
151-5,0.50,0.50,1,144,151-4,|10,39
151-3,0.40,0.40,395,118,151-5,|20,50
151-6,0.50,0.50,1,144,,|0,39
151-7,0.50,1.00,66,128,151-5,151-6,|20,49
151-8,0.50,0.50,355,84,151-2,151-3,151-7,|29,58
151-9,0.50,0.50,61,99,151-8,|35,64
151-10,0.50,0.25,39,121,151-9,|42,71
151-11,0.50,1.00,1,144,,|0,52
151-12,0.50,0.25,1,144,151-11,|10,62
151-13,0.40,0.20,43,119,151-12,|20,72
151-14,0.50,0.25,1,144,,|0,70
151-15,0.40,0.40,37,106,151-10,151-13,151-14,|51,80
151-16,0.40,0.40,1,144,151-15,|59,88
162-1,0.50,1.00,8,117,,|0,41
162-2,0.50,0.50,1,144,162-1,|8,49
162-4,0.50,0.25,1,144,,|0,30
162-5,0.50,0.50,1,144,162-4,|10,40
162-3,0.50,0.25,399,122,162-5,|20,50
162-6,0.50,0.25,1,144,,|0,40
162-7,0.50,1.00,83,126,162-5,162-6,|20,50
162-8,0.40,0.20,518,99,162-2,162-3,162-7,|29,59
162-9,0.40,0.20,193,113,162-8,|36,66
162-10,0.50,1.00,39,120,162-9,|44,74
162-11,0.50,0.50,1,144,,|0,54
162-12,0.50,0.25,1,144,162-11,|10,64
162-13,0.50,0.25,43,108,162-12,|20,74
162-14,0.50,1.00,1,144,,|0,72
162-15,0.40,0.40,193,80,162-10,162-13,162-14,|52,82
162-16,0.50,0.50,1,144,162-15,|58,88
164-1,0.50,0.50,11,119,,|0,73
164-2,0.50,0.25,1000,60,,|0,69
164-3,0.40,0.20,15,133,,|0,64
164-4,0.75,1.50,440,108,164-2,164-3,|9,73
164-5,0.40,0.40,13,113,164-1,164-4,|17,81
164-6,0.50,0.50,3,135,164-5,|25,89
170-1,0.65,0.65,814,100,,|0,85
170-2,0.50,0.25,37,94,,|0,85
170-3,0.70,0.35,438,79,170-1,170-2,|7,92
301-1,0.50,0.50,2,140,,|0,81
301-2,0.50,1.00,115,105,301-1,|10,91
331-1,1.00,1.00,1000,71,,|0,84
331-2,1.00,0.50,726,80,331-1,|5,89
331-3,1.00,0.50,745,39,331-2,|11,95
344-1,0.50,1.00,13,124,,|0,61
344-2,0.50,0.50,1,144,,|0,53
344-3,0.50,0.25,35,134,,|0,39
344-4,0.50,0.25,461,92,,|0,31
344-5,0.50,0.50,1,144,344-4,|7,38
344-13,0.50,0.25,1,144,344-4,|7,38
344-7,0.50,0.25,46,134,,|0,47
344-8,0.50,0.25,252,85,,|0,57
344-6,0.50,0.25,49,109,344-3,344-5,344-13,|17,48
344-14,0.50,0.25,53,92,344-6,344-7,|25,56
344-9,0.50,0.25,65,93,344-2,344-8,344-14,|32,63
344-10,0.50,1.00,13,120,344-1,344-9,344-14,|39,70
344-11,0.50,0.25,1,144,344-10,|47,78
344-12,0.50,0.25,1,144,344-11,|57,88
344-15,0.50,0.25,13,144,344-14,|32,68
344-16,0.50,0.25,1,144,344-15,|42,78
344-17,0.50,1.00,1,144,344-16,|52,88
344-18,0.50,0.25,13,144,344-14,|32,78
344-19,0.50,0.25,1,144,344-18,|42,88
344-20,0.50,0.50,13,76,344-14,|32,82
344-21,0.50,0.50,1,144,344-20,|38,88
344-22,0.50,0.25,1,144,344-10,|47,78
344-23,0.50,0.25,1,144,344-22,|57,88
344-25,0.50,0.25,13,132,344-14,|32,79
344-24,0.50,0.25,1,144,344-25,|41,88
344-26,0.50,0.50,1,144,344-9,|39,78
344-27,0.50,0.25,1,144,344-26,|49,88
344-28,0.50,0.25,1,144,344-10,|47,78
344-29,0.50,0.25,1,144,344-28,|57,88
417-1,0.50,0.25,205,103,,|0,58
417-2,0.50,0.25,231,96,417-1,|7,65
417-3,0.50,0.25,45,133,,|0,55
417-4,0.50,0.25,41,107,,|0,56
417-5,0.50,0.25,25,116,417-3,417-4,|9,64
417-6,0.50,0.25,245,109,417-2,417-5,|17,72
417-7,0.50,1.00,15,122,417-6,|25,80
417-8,0.50,0.25,7,133,417-7,|34,89
423-1,1.00,0.50,227,52,,|0,84
423-3,1.00,0.50,53,125,,|0,64
423-4,1.00,0.50,44,112,,|0,65
423-2,1.00,2.00,73,139,423-3,423-4,|9,73
423-5,1.00,0.50,92,115,423-3,423-4,|9,75
423-6,1.00,2.00,171,69,423-2,423-5,|19,83
423-7,1.00,0.50,398,91,423-1,423-6,|24,88
423-8,1.00,1.00,1000,43,,|0,85
423-9,1.00,1.00,1000,92,423-8,|3,88
423-10,1.00,0.50,1000,40,423-7,423-9,|31,95
427-1,0.50,0.25,1,144,,|0,88
427-2,0.50,0.25,38,98,,|0,70
427-3,0.50,0.25,5,136,427-2,|7,77
427-4,0.50,0.50,23,119,,|0,72
